Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Italian:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - German:,Estimate; Total: - Yiddish:,Estimate; Total: - Other West Germanic languages:,Estimate; Total: - Scandinavian languages:,Estimate; Total: - Greek:,Estimate; Total: - Russian:,Estimate; Total: - Polish:,Estimate; Total: - Serbo-Croatian:,Estimate; Total: - Other Slavic languages:,Estimate; Total: - Armenian:,Estimate; Total: - Persian:,Estimate; Total: - Gujarati:,Estimate; Total: - Hindi:,Estimate; Total: - Urdu:,Estimate; Total: - Other Indic languages:,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Chinese:,Estimate; Total: - Japanese:,Estimate; Total: - Korean:,"Estimate; Total: - Mon-Khmer, Cambodian:",Estimate; Total: - Hmong:,Estimate; Total: - Thai:,Estimate; Total: - Laotian:,Estimate; Total: - Vietnamese:,Estimate; Total: - Other Asian languages:,Estimate; Total: - Tagalog:,Estimate; Total: - Other Pacific Island languages:,Estimate; Total: - Navajo:,Estimate; Total: - Other Native North American languages:,Estimate; Total: - Hungarian:,Estimate; Total: - Arabic:,Estimate; Total: - Hebrew:,Estimate; Total: - African languages:,Estimate; Total: - Other and unspecified languages:
1400000US12086000120,12086000120,"Census Tract 1.20, Miami-Dade County, Florida",4425,2028,1717,37,98,43,39,10,0,0,0,30,15,28,0,0,0,0,0,205,0,0,0,3,0,16,0,0,15,0,63,7,15,0,0,0,0,0,56,0,0
1400000US12086000219,12086000219,"Census Tract 2.19, Miami-Dade County, Florida",4213,1086,1094,8,1815,0,38,8,0,51,0,0,0,0,0,0,0,0,0,64,29,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1400000US12086000220,12086000220,"Census Tract 2.20, Miami-Dade County, Florida",5061,1046,1111,35,2729,17,0,0,0,0,0,0,55,0,0,0,0,0,12,0,0,0,25,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
1400000US12086000306,12086000306,"Census Tract 3.06, Miami-Dade County, Florida",4852,1195,824,70,2701,0,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
1400000US12086000308,12086000308,"Census Tract 3.08, Miami-Dade County, Florida",5877,1936,1408,66,2346,0,25,0,0,0,0,5,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,0,0,0,3,0
1400000US12086000408,12086000408,"Census Tract 4.08, Miami-Dade County, Florida",4193,2089,925,44,1103,0,23,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000409,12086000409,"Census Tract 4.09, Miami-Dade County, Florida",4668,930,1253,35,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000411,12086000411,"Census Tract 4.11, Miami-Dade County, Florida",5772,2174,1134,12,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000412,12086000412,"Census Tract 4.12, Miami-Dade County, Florida",6287,3314,2547,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000503,12086000503,"Census Tract 5.03, Miami-Dade County, Florida",6764,2961,3421,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
1400000US12086000604,12086000604,"Census Tract 6.04, Miami-Dade County, Florida",6174,357,5817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000605,12086000605,"Census Tract 6.05, Miami-Dade County, Florida",4309,389,3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000804,12086000804,"Census Tract 8.04, Miami-Dade County, Florida",4907,262,4643,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000805,12086000805,"Census Tract 8.05, Miami-Dade County, Florida",5689,447,5226,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12086000806,12086000806,"Census Tract 8.06, Miami-Dade County, Florida",4802,463,4323,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
