Month,puerto rico: (Miami-Ft. Lauderdale FL),Spanish: (Miami-Ft. Lauderdale FL),Chinese: (Miami-Ft. Lauderdale FL),russian: (Miami-Ft. Lauderdale FL)
2004-01,18,46,37,12
2004-02,16,38,18,12
2004-03,18,39,20,13
2004-04,20,45,17,12
2004-05,18,39,22,12
2004-06,17,32,17,9
2004-07,20,31,19,9
2004-08,18,39,19,12
2004-09,22,45,18,10
2004-10,22,50,17,9
2004-11,26,43,17,9
2004-12,20,38,20,8
2005-01,19,41,17,11
2005-02,21,46,27,13
2005-03,20,41,22,11
2005-04,20,49,20,10
2005-05,21,50,20,10
2005-06,20,35,17,11
2005-07,19,39,18,10
2005-08,20,40,19,10
2005-09,19,51,19,9
2005-10,24,47,19,10
2005-11,25,47,16,9
2005-12,19,42,18,10
2006-01,14,42,26,12
2006-02,16,48,17,11
2006-03,21,46,18,11
2006-04,19,50,18,12
2006-05,16,45,16,13
2006-06,14,42,17,10
2006-07,16,38,17,10
2006-08,11,46,16,10
2006-09,13,50,17,10
2006-10,16,49,17,10
2006-11,15,42,17,12
2006-12,15,43,17,11
2007-01,17,47,21,9
2007-02,19,42,23,11
2007-03,18,42,16,10
2007-04,15,44,17,8
2007-05,19,42,16,9
2007-06,16,37,17,8
2007-07,16,36,16,9
2007-08,18,43,18,9
2007-09,16,50,15,8
2007-10,21,49,18,9
2007-11,15,43,16,10
2007-12,14,42,19,10
2008-01,14,41,20,9
2008-02,13,42,29,9
2008-03,15,41,17,8
2008-04,17,42,18,8
2008-05,15,43,18,8
2008-06,15,36,17,8
2008-07,12,36,17,9
2008-08,14,42,22,11
2008-09,14,52,17,7
2008-10,15,47,16,8
2008-11,13,41,20,9
2008-12,13,39,19,8
2009-01,14,46,25,8
2009-02,14,46,18,9
2009-03,19,45,17,9
2009-04,16,47,20,8
2009-05,17,48,18,8
2009-06,16,41,18,9
2009-07,15,40,18,7
2009-08,17,45,18,8
2009-09,16,56,19,8
2009-10,22,54,19,9
2009-11,16,50,19,10
2009-12,14,43,19,10
2010-01,15,52,22,9
2010-02,14,51,25,9
2010-03,17,47,18,9
2010-04,18,47,20,9
2010-05,19,50,17,8
2010-06,18,44,20,8
2010-07,19,49,18,9
2010-08,19,48,19,8
2010-09,17,52,20,8
2010-10,17,50,17,7
2010-11,15,50,17,9
2010-12,16,45,21,9
2011-01,32,47,26,8
2011-02,33,45,25,8
2011-03,39,45,20,7
2011-04,31,45,20,8
2011-05,34,47,19,8
2011-06,38,44,18,7
2011-07,39,41,19,6
2011-08,32,45,18,7
2011-09,38,54,20,8
2011-10,39,48,20,6
2011-11,35,47,19,7
2011-12,16,43,22,7
2012-01,13,46,28,8
2012-02,13,45,21,7
2012-03,14,40,19,7
2012-04,12,45,20,7
2012-05,13,47,21,7
2012-06,14,42,21,7
2012-07,15,38,19,7
2012-08,14,41,19,7
2012-09,16,48,19,6
2012-10,18,45,20,6
2012-11,21,39,19,6
2012-12,16,39,21,7
2013-01,19,44,22,7
2013-02,25,44,26,11
2013-03,24,42,21,8
2013-04,12,44,20,8
2013-05,11,45,21,6
2013-06,17,40,21,7
2013-07,44,41,21,7
2013-08,45,46,21,7
2013-09,39,47,21,7
2013-10,38,48,20,6
2013-11,39,43,22,7
2013-12,41,42,23,7
2014-01,44,45,26,7
2014-02,43,46,24,11
2014-03,33,46,23,9
2014-04,14,46,21,8
2014-05,14,48,22,7
2014-06,13,45,20,7
2014-07,13,47,21,8
2014-08,12,52,21,7
2014-09,11,57,20,7
2014-10,13,58,20,7
2014-11,12,54,20,8
2014-12,13,52,22,8
2015-01,14,56,23,8
2015-02,13,55,28,7
2015-03,13,58,21,7
2015-04,12,60,21,8
2015-05,17,64,22,8
2015-06,22,57,23,7
2015-07,29,57,24,6
2015-08,29,61,23,6
2015-09,26,75,23,7
2015-10,46,69,22,7
2015-11,56,64,22,9
2015-12,56,63,26,8
2016-01,45,65,25,7
2016-02,44,68,28,7
2016-03,43,67,23,7
2016-04,27,71,24,7
2016-05,39,72,24,7
2016-06,24,66,23,7
2016-07,20,66,25,7
2016-08,18,70,23,8
2016-09,16,82,23,7
2016-10,14,74,23,7
2016-11,36,77,23,7
2016-12,28,73,26,11
2017-01,37,77,32,9
2017-02,34,80,25,9
2017-03,40,82,24,8
2017-04,14,82,24,9
2017-05,35,86,23,8
2017-06,37,78,23,8
2017-07,34,77,24,8
2017-08,21,85,22,6
2017-09,80,81,22,6
2017-10,46,92,22,7
2017-11,34,86,23,7
2017-12,34,84,26,8
2018-01,26,83,26,8
2018-02,34,90,29,9
2018-03,30,90,24,8
2018-04,28,94,25,8
2018-05,25,95,23,7
2018-06,30,90,23,8
2018-07,28,90,24,9
2018-08,30,94,24,7
2018-09,33,100,24,7
2018-10,30,99,22,7
2018-11,29,93,24,7
2018-12,34,89,28,8
2019-01,39,93,27,8
2019-02,35,95,29,9
2019-03,32,91,24,7
2019-04,29,94,24,7
