Month,Spanish,French Criole,French,Portuguese,Russian,Chinese,Arepa,Ceviche,Mofongo,Span 4,Span 5,Pikliz,Gumbo,Kompa,Little Haiti,Toussaint,Jerk Festival,Soursop,Calypso,Reggae,Oxtail,Pao de queijo,Feijoada,Picanha,Samba,Bossa nova
2004-03,44,0,32,2,9,18,0,0,0,0,0,0,0,0,0,0,0,13,0,87,0,0,0,0,0,74
2004-04,48,0,25,3,10,21,0,0,0,0,0,0,0,0,0,58,0,13,0,87,0,0,0,0,0,74
2004-05,43,0,27,1,8,19,0,18,0,0,0,0,0,50,0,0,0,12,23,58,0,0,0,0,0,0
2004-06,36,0,20,3,9,17,0,17,0,0,0,0,0,0,0,0,0,0,27,82,0,0,0,0,0,0
2004-07,37,0,21,3,8,13,0,34,0,0,0,0,77,0,77,0,0,9,27,66,0,48,0,0,48,48
2004-08,45,0,19,1,11,17,0,25,0,0,0,0,0,0,0,0,0,8,20,74,8,0,0,43,43,0
2004-09,46,0,22,2,13,17,12,25,0,0,0,0,35,0,0,70,0,0,16,64,0,0,0,0,44,0
2004-10,55,0,25,1,10,16,0,12,0,0,0,0,0,35,0,35,0,0,16,76,8,0,44,0,44,65
2004-11,38,0,21,1,11,15,0,33,0,0,0,0,0,0,0,0,0,0,25,98,0,0,0,0,0,0
2004-12,37,0,27,2,12,20,11,12,0,0,0,0,65,32,0,0,0,0,18,44,0,0,0,0,81,41
2005-01,41,0,29,1,10,22,15,10,10,0,0,0,56,0,28,0,0,6,6,65,0,0,35,0,35,35
2005-02,47,0,25,1,10,26,0,0,0,0,0,0,0,0,87,0,0,0,33,63,0,36,0,0,36,0
2005-03,40,0,25,2,11,22,17,17,9,0,0,0,0,0,0,25,0,0,23,51,6,0,31,0,92,0
2005-04,48,0,22,3,9,21,10,0,0,0,0,0,27,54,27,0,0,0,13,100,0,0,34,0,0,0
2005-05,47,0,27,2,10,15,0,8,0,0,0,0,0,48,24,0,0,0,22,71,0,0,30,0,30,30
2005-06,33,0,23,2,9,20,17,41,0,0,0,0,0,0,23,0,0,0,30,89,0,0,0,0,29,29
2005-07,35,0,23,3,9,20,8,8,8,0,0,0,0,23,0,0,0,0,16,85,0,29,0,0,28,29
2005-08,44,0,21,2,12,15,0,8,0,0,0,0,66,44,22,0,0,10,18,83,0,0,27,0,27,28
2005-09,44,0,23,2,9,18,0,29,7,0,0,0,20,20,0,41,5,0,21,64,5,0,0,0,26,26
2005-10,52,0,24,2,8,18,8,8,0,0,0,0,45,0,0,45,5,0,13,57,0,0,28,28,56,0
2005-11,47,0,26,2,11,16,0,8,0,0,0,0,21,21,42,0,0,0,12,68,0,0,0,0,53,26
2005-12,46,0,30,2,10,16,7,17,0,0,0,0,76,19,0,0,0,0,4,74,4,0,0,0,48,49
2006-01,43,0,25,3,11,25,12,9,0,0,0,0,34,17,0,0,0,0,22,75,4,0,0,0,32,21
2006-02,46,0,26,2,11,21,6,16,6,0,0,0,0,18,0,0,0,4,8,65,0,0,0,0,33,33
2006-03,46,0,20,2,11,17,6,6,0,0,0,0,0,47,31,0,0,0,18,98,0,0,0,20,49,0
2006-04,47,0,24,2,12,19,11,26,0,0,0,0,0,0,0,16,0,4,18,72,4,0,0,0,100,20
2006-05,46,0,25,1,11,18,11,16,0,0,0,0,15,15,30,46,0,0,21,57,0,0,0,0,48,19
2006-06,38,0,24,2,10,15,11,14,0,0,0,0,31,16,31,31,0,0,14,68,4,0,0,20,39,29
2006-07,39,0,22,3,9,14,5,8,5,0,0,15,15,30,30,0,0,0,28,64,3,0,0,0,47,19
2006-08,44,0,18,2,7,14,0,15,5,0,0,0,82,0,0,0,0,0,11,73,0,17,0,17,34,17
2006-09,52,0,26,2,10,18,15,15,0,0,0,0,0,14,0,0,8,0,13,54,0,0,0,17,17,17
2006-10,49,0,21,1,11,16,0,12,5,0,0,0,13,0,0,13,0,3,12,63,0,0,0,16,16,32
2006-11,46,0,24,3,12,18,9,9,5,0,0,13,27,27,13,27,0,0,14,64,0,0,33,0,33,33
2006-12,45,0,20,2,13,18,9,19,0,0,0,0,0,40,0,26,0,0,17,57,0,0,0,0,17,33
2007-01,48,0,23,2,10,20,4,15,0,0,0,12,24,0,12,0,0,3,10,38,3,0,15,0,30,15
2007-02,42,0,27,2,12,23,9,16,4,0,0,0,12,37,12,25,3,0,17,72,0,0,16,0,47,23
2007-03,39,0,18,2,11,19,12,14,6,0,0,11,0,0,11,33,0,0,12,46,5,0,14,0,14,14
2007-04,42,0,23,2,9,17,8,10,4,0,0,11,0,32,22,0,0,2,29,54,2,14,0,0,27,27
2007-05,45,0,24,2,10,15,5,9,3,0,0,10,39,29,0,29,0,2,31,71,2,0,0,12,24,18
2007-06,36,0,22,1,10,17,4,24,7,0,0,10,30,0,0,20,0,0,32,52,2,0,13,0,26,13
2007-07,36,0,21,3,9,18,0,23,3,0,0,0,79,49,30,0,2,2,21,51,2,0,12,0,50,25
2007-08,45,0,22,2,9,16,10,18,7,0,0,0,18,9,0,9,2,2,21,59,2,0,12,0,46,12
2007-09,52,0,22,2,9,14,7,18,7,0,0,0,19,38,19,10,11,0,15,61,3,0,12,0,35,24
2007-10,50,0,22,1,11,18,9,17,5,0,0,0,26,35,52,9,0,0,11,65,2,0,11,11,33,11
2007-11,46,0,25,3,10,15,9,9,5,0,0,0,9,9,9,18,0,0,10,53,2,0,11,22,22,0
2007-12,44,0,23,2,10,23,6,15,3,0,0,0,9,9,9,18,0,2,16,76,4,11,23,0,46,23
2008-01,39,0,24,2,8,20,0,16,3,0,0,8,24,24,0,8,2,0,14,58,0,0,0,0,30,10
2008-02,38,0,20,3,9,27,15,23,6,0,0,9,25,34,34,17,0,0,10,55,2,0,11,0,26,21
2008-03,43,0,24,2,10,17,6,15,3,0,0,0,24,39,8,31,2,0,19,73,2,10,0,0,30,10
2008-04,43,0,21,1,8,18,17,7,3,0,0,0,8,8,0,8,2,0,26,62,4,0,0,0,34,20
2008-05,46,0,21,2,9,18,7,14,4,0,0,0,8,8,8,31,3,2,24,72,3,0,10,0,29,19
2008-06,38,0,23,2,9,16,17,27,3,0,0,8,32,24,16,16,2,2,27,46,2,10,0,10,30,10
2008-07,35,0,20,2,9,18,4,24,8,0,0,15,23,38,15,15,0,0,35,68,5,10,19,0,24,9
2008-08,41,0,21,3,10,23,5,12,8,0,0,8,8,23,22,15,0,2,23,62,3,0,19,9,28,14
2008-09,47,0,21,2,8,17,9,17,3,0,0,7,22,59,37,22,0,2,12,51,3,18,9,0,37,23
2008-10,49,0,23,2,7,18,10,17,4,0,0,0,14,7,34,14,5,3,18,52,3,8,9,9,51,9
2008-11,38,0,20,3,7,19,16,15,7,0,0,0,0,15,15,30,15,0,11,52,5,0,0,9,28,38
2008-12,42,0,22,2,9,20,6,11,3,0,0,0,7,22,36,14,0,0,21,52,4,0,14,9,18,18
2009-01,48,0,22,4,9,26,7,20,5,0,0,7,7,28,28,7,0,0,16,54,4,9,9,9,35,17
2009-02,45,0,21,2,9,17,8,23,4,0,0,8,38,7,7,7,0,0,17,59,5,0,0,0,71,0
2009-03,45,0,19,3,9,16,6,26,5,0,0,0,20,7,27,0,2,0,21,66,4,8,13,0,34,8
2009-04,49,0,22,4,9,21,11,15,5,0,0,21,28,21,28,14,0,2,19,65,3,0,9,0,35,13
2009-05,49,0,28,3,7,19,7,23,4,0,0,0,28,35,21,0,2,2,30,62,2,0,9,9,30,26
2009-06,41,0,24,2,8,19,6,24,4,0,0,7,14,14,20,14,0,3,28,58,2,9,17,0,17,17
2009-07,41,0,21,3,7,20,5,30,5,0,0,0,34,54,20,0,2,0,31,70,2,8,0,8,34,8
2009-08,46,0,20,3,7,19,7,23,5,0,0,27,13,27,7,0,2,3,26,64,2,0,13,0,21,17
2009-09,61,0,26,2,8,20,9,19,10,0,0,13,13,20,7,7,3,2,19,51,3,8,0,0,25,0
2009-10,52,0,23,3,9,18,11,23,6,0,0,6,13,45,26,19,2,2,16,65,5,8,8,8,32,8
