Month,Arepa,Ceviche,Mofongo
2004-01,24,24,0
2004-02,21,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,18,0
2004-06,0,17,0
2004-07,0,34,0
2004-08,0,25,0
2004-09,12,25,0
2004-10,0,12,0
2004-11,0,33,0
2004-12,11,12,0
2005-01,15,10,10
2005-02,0,0,0
2005-03,17,17,9
2005-04,10,0,0
2005-05,0,8,0
2005-06,17,41,0
2005-07,8,8,8
2005-08,0,8,0
2005-09,0,29,7
2005-10,8,8,0
2005-11,0,8,0
2005-12,7,17,0
2006-01,12,9,0
2006-02,6,16,6
2006-03,6,6,0
2006-04,11,26,0
2006-05,11,16,0
2006-06,11,14,0
2006-07,5,8,5
2006-08,0,15,5
2006-09,15,15,0
2006-10,0,12,5
2006-11,9,9,5
2006-12,9,19,0
2007-01,4,15,0
2007-02,9,16,4
2007-03,12,14,6
2007-04,8,10,4
2007-05,5,9,3
2007-06,4,24,7
2007-07,0,23,3
2007-08,10,18,7
2007-09,7,18,7
2007-10,9,17,5
2007-11,9,9,5
2007-12,6,15,3
2008-01,0,16,3
2008-02,15,23,6
2008-03,6,15,3
2008-04,17,7,3
2008-05,7,14,4
2008-06,17,27,3
2008-07,4,24,8
2008-08,5,12,8
2008-09,9,17,3
2008-10,10,17,4
2008-11,16,15,7
2008-12,6,11,3
2009-01,7,20,5
2009-02,8,23,4
2009-03,6,26,5
2009-04,11,15,5
2009-05,7,23,4
2009-06,6,24,4
2009-07,5,30,5
2009-08,7,23,5
2009-09,9,19,10
2009-10,11,23,6
2009-11,8,18,12
2009-12,7,20,5
2010-01,7,24,2
2010-02,11,24,2
2010-03,10,28,2
2010-04,7,21,4
2010-05,9,33,4
2010-06,2,25,2
2010-07,9,30,4
2010-08,10,28,9
2010-09,10,32,8
2010-10,12,34,7
2010-11,4,30,10
2010-12,9,34,3
2011-01,5,43,7
2011-02,9,43,7
2011-03,12,49,8
2011-04,4,39,11
2011-05,11,47,12
2011-06,6,54,8
2011-07,9,61,7
2011-08,10,49,6
2011-09,17,53,7
2011-10,13,56,6
2011-11,11,33,13
2011-12,10,45,7
2012-01,11,60,7
2012-02,11,44,11
2012-03,13,50,10
2012-04,11,55,7
2012-05,11,52,6
2012-06,14,58,6
2012-07,8,52,7
2012-08,10,43,8
2012-09,10,48,10
2012-10,12,49,6
2012-11,9,41,9
2012-12,8,62,6
2013-01,18,57,8
2013-02,12,60,11
2013-03,13,68,14
2013-04,13,61,7
2013-05,15,60,11
2013-06,12,59,10
2013-07,18,80,13
2013-08,16,68,14
2013-09,14,46,10
2013-10,16,50,13
2013-11,14,47,14
2013-12,13,57,13
2014-01,17,61,14
2014-02,14,58,18
2014-03,24,65,15
2014-04,16,51,11
2014-05,17,54,9
2014-06,19,62,13
2014-07,17,75,11
2014-08,18,59,8
2014-09,20,55,15
2014-10,18,61,11
2014-11,18,68,14
2014-12,15,63,12
2015-01,17,64,11
2015-02,15,61,13
2015-03,20,61,14
2015-04,18,61,7
2015-05,22,80,11
2015-06,25,68,10
2015-07,23,79,9
2015-08,23,69,13
2015-09,24,60,14
2015-10,32,54,14
2015-11,26,55,15
2015-12,25,55,15
2016-01,26,65,14
2016-02,24,71,19
2016-03,23,77,16
2016-04,30,73,16
2016-05,29,72,18
2016-06,31,79,14
2016-07,31,90,12
2016-08,37,70,13
2016-09,40,78,12
2016-10,40,62,12
2016-11,34,63,12
2016-12,35,69,14
2017-01,40,79,14
2017-02,43,84,15
2017-03,41,79,15
2017-04,40,85,12
2017-05,51,84,16
2017-06,47,95,16
2017-07,47,100,21
2017-08,40,73,15
2017-09,38,59,12
2017-10,44,72,7
2017-11,40,72,17
2017-12,42,92,14
2018-01,39,78,14
2018-02,50,97,13
2018-03,51,100,12
2018-04,50,92,21
2018-05,49,87,17
2018-06,44,92,15
2018-07,51,99,19
2018-08,53,82,20
2018-09,57,81,21
2018-10,48,68,17
2018-11,53,75,21
2018-12,40,86,22
2019-01,48,82,20
2019-02,49,85,15
2019-03,48,96,23
2019-04,47,93,25
